DATE	DAY	MONTH	QUARTER	YEAR	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	NO. OF  TRADES
05 August 2025	Tuesday	August	Q3	2025	1411.00	1411.00	1388.10	1411.50	1390.00	1391.70	1394.50	3079.45	1114.85	9315972	238858
04 August 2025	Monday	August	Q3	2025	1395.10	1416.10	1391.70	1393.70	1410.20	1411.50	1410.61	3079.45	1114.85	6312820	188246
01 August 2025	Friday	August	Q3	2025	1386.90	1405.90	1384.30	1390.20	1394.10	1393.70	1397.47	3079.45	1114.85	10321171	208431
31 July 2025	Thursday	July	Q3	2025	1388.10	1402.60	1382.20	1410.10	1390.00	1390.20	1392.63	3079.45	1114.85	17065827	373516
30 July 2025	Wednesday	July	Q3	2025	1418.10	1423.30	1401.30	1417.10	1409.70	1410.10	1411.50	3079.45	1114.85	7209849	167311
29 July 2025	Tuesday	July	Q3	2025	1383.00	1420.20	1383.00	1387.60	1416.60	1417.10	1402.99	3079.45	1114.85	10750072	187813
28 July 2025	Monday	July	Q3	2025	1392.30	1407.80	1385.00	1391.70	1387.10	1387.60	1394.17	3079.45	1114.85	7748361	198421
25 July 2025	Friday	July	Q3	2025	1398.90	1401.00	1384.10	1402.90	1392.40	1391.70	1394.22	3079.45	1114.85	11854722	237018
24 July 2025	Thursday	July	Q3	2025	1419.20	1423.00	1396.00	1424.60	1402.80	1402.90	1407.06	3079.45	1114.85	14740507	314670
23 July 2025	Wednesday	July	Q3	2025	1426.00	1426.00	1414.40	1412.80	1425.00	1424.60	1421.41	3079.45	1114.85	8354596	225103
22 July 2025	Tuesday	July	Q3	2025	1427.40	1431.90	1410.70	1428.60	1413.80	1412.80	1417.05	3079.45	1114.85	20396320	504145
21 July 2025	Monday	July	Q3	2025	1465.00	1476.00	1423.10	1476.00	1428.20	1428.60	1435.24	3079.45	1114.85	22442744	630358
18 July 2025	Friday	July	Q3	2025	1484.80	1484.80	1469.10	1476.40	1476.00	1476.00	1475.20	3211.70	1114.85	10296318	222241
17 July 2025	Thursday	July	Q3	2025	1487.40	1489.60	1473.90	1485.60	1478.70	1476.40	1479.78	3211.70	1114.85	11854613	189733
16 July 2025	Wednesday	July	Q3	2025	1473.00	1491.00	1471.50	1485.40	1486.20	1485.60	1481.43	3211.70	1114.85	10409983	191598
15 July 2025	Tuesday	July	Q3	2025	1486.20	1496.50	1482.40	1483.70	1488.50	1485.40	1487.92	3211.70	1114.85	8132454	173756
14 July 2025	Monday	July	Q3	2025	1492.20	1500.00	1479.10	1495.20	1486.40	1483.70	1487.76	3211.70	1114.85	10311846	186122
11 July 2025	Friday	July	Q3	2025	1512.00	1515.00	1490.30	1517.20	1495.00	1495.20	1496.06	3217.60	1114.85	7234991	178490
10 July 2025	Thursday	July	Q3	2025	1519.70	1524.70	1507.50	1519.00	1515.20	1517.20	1516.20	3217.60	1114.85	10047129	289035
09 July 2025	Wednesday	July	Q3	2025	1536.70	1551.00	1510.10	1537.60	1520.50	1519.00	1532.97	3217.60	1114.85	8870660	254524
08 July 2025	Tuesday	July	Q3	2025	1536.00	1544.90	1530.20	1541.50	1538.00	1537.60	1536.23	3217.60	1114.85	7171261	191265
07 July 2025	Monday	July	Q3	2025	1526.60	1544.80	1525.00	1527.30	1540.50	1541.50	1539.06	3217.60	1114.85	7251074	205134
04 July 2025	Friday	July	Q3	2025	1524.00	1530.00	1517.20	1517.80	1528.10	1527.30	1523.57	3217.60	1114.85	6603501	167255
03 July 2025	Thursday	July	Q3	2025	1520.80	1531.90	1513.00	1518.80	1515.00	1517.80	1520.57	3217.60	1114.85	11283291	258008
02 July 2025	Wednesday	July	Q3	2025	1528.40	1530.00	1508.70	1528.40	1517.10	1518.80	1518.29	3217.60	1114.85	6361002	183873
01 July 2025	Tuesday	July	Q3	2025	1500.60	1531.40	1500.10	1500.60	1526.80	1528.40	1522.95	3217.60	1114.85	10368523	232573
30 June 2025	Monday	June	Q2	2025	1513.80	1524.80	1496.00	1515.40	1499.90	1500.60	1509.28	3217.60	1114.85	8409527	242195
27 June 2025	Friday	June	Q2	2025	1499.40	1522.00	1496.90	1495.30	1514.00	1515.40	1511.99	3217.60	1114.85	11117052	269877
26 June 2025	Thursday	June	Q2	2025	1469.10	1498.80	1465.10	1467.30	1495.30	1495.30	1488.16	3217.60	1114.85	14657893	247215
25 June 2025	Wednesday	June	Q2	2025	1464.00	1472.40	1460.50	1450.80	1467.60	1467.30	1467.46	3217.60	1114.85	7525851	197720
24 June 2025	Tuesday	June	Q2	2025	1465.00	1475.00	1443.10	1456.80	1456.80	1450.80	1456.68	3217.60	1114.85	16402744	284313
